auction_id,category,starting_price,duration_hours,final_price
1,Electronics,323.68087297118694,6,496.18921745665216
2,Car,693.2931030577035,23,1400.1950160560575
3,Car,671.4653821020194,4,1205.3800847676744
4,Art,741.3324275677384,21,1691.5802780758404
5,Art,778.0464628549753,7,1922.5603746122267
6,Electronics,335.0327919853726,17,534.8129257946171
7,Art,586.0383262961689,23,1696.9677292581846
8,Electronics,784.7615378979416,15,2170.434704607288
9,Fashion,63.39979446211826,12,106.21110739205244
10,Car,977.8936842024399,6,1678.0659805818023
11,Electronics,215.41460704306695,22,368.5930122400479
12,Art,971.9285585115293,10,2384.0458353236186
13,Art,562.0837079627745,5,1316.7175422366145
14,Fashion,294.99284683584494,3,787.7549463827819
15,Electronics,759.9699716718856,2,2001.500351058963
16,Art,179.30731559834388,16,356.47597696964345
17,Art,932.332632301717,17,2017.214564814998
18,Fashion,366.6010813655399,12,569.8614523673502
19,Car,101.71801041957475,2,247.68727711294648
20,Electronics,666.1761122379307,2,1335.162908439644
21,Electronics,354.2599942679993,14,1012.3633165266242
22,Electronics,386.1479257058472,2,656.2103637905593
23,Art,14.409728218733182,14,37.18852274404804
24,Art,486.1963949191735,23,829.310850736402
25,Fashion,666.9885145991271,5,1717.4546679850844
26,Art,313.73606479756853,12,780.9080350555748
27,Fashion,901.1192279581859,15,2102.6217395516896
28,Fashion,242.00100180626842,11,629.4862417077978
29,Fashion,217.2992349357513,11,588.6929046069341
30,Art,726.8304514539611,12,1297.6354739494557
31,Electronics,388.51394239897854,15,588.9375015552835
32,Art,148.46058501203902,16,345.70377639928375
33,Fashion,965.9804787517825,13,2556.8666672887566
34,Art,987.2165736550741,11,1499.32838179998
35,Car,441.2245032325894,17,1094.0935345325797
36,Fashion,812.2596406233072,14,2182.164775462717
37,Car,217.37790837864347,13,461.74292991845914
38,Art,889.1914614507502,19,1461.3187271636596
39,Car,754.6327262170107,2,1564.9477972483517
40,Art,932.9656329154544,8,2551.784268216109
41,Art,869.3779513446848,11,2108.610347218489
42,Art,340.3882544731206,16,930.4955775457012
43,Art,167.99965631024583,12,387.00833221201043
44,Car,200.15884647753703,7,474.59420762660017
45,Art,281.07215509407513,15,528.8783472610642
46,Art,175.87302475961317,22,281.1250827489442
47,Car,397.9531610567756,16,681.7958919299288
48,Car,213.64327751322574,3,541.197321911573
49,Fashion,538.3759198199817,18,1384.8093363981516
50,Electronics,413.9606208571921,22,1130.4327289911328
51,Art,610.6268257427316,6,1170.2097191397243
52,Fashion,324.2883292671067,12,938.1078333482998
53,Electronics,310.1007391095357,3,930.1722779757661
54,Electronics,517.0612913779464,18,1185.9859814412762
55,Car,169.53679631490058,21,419.6388583282995
56,Art,73.66661432017449,10,207.43353646285667
57,Fashion,779.2641898516739,1,1411.9501885121992
58,Electronics,100.82627524011778,20,268.4924863645288
59,Art,74.06114344120965,22,215.5028742668692
60,Electronics,609.002212961967,11,1397.3687098071518
61,Art,538.8858010558588,16,1550.415265171443
62,Fashion,415.3137688628561,20,1116.9130474195372
63,Electronics,968.3701415497769,10,2493.5732119402774
64,Fashion,232.38332562153593,3,442.0163043853573
65,Car,894.5286253635318,13,2643.9236209465926
66,Car,846.6032068750416,1,1839.1323165130227
67,Car,997.4737198812202,6,2077.0851114948277
68,Car,270.6404488475156,6,511.1466502011315
69,Car,718.1221887884955,1,1639.0047708642508
70,Art,617.0076939884271,15,1334.9994153737039
71,Electronics,810.2902528100994,5,1532.9527434763131
72,Fashion,584.9072863345575,16,1046.7424894042476
73,Electronics,263.206140704791,19,557.534670104304
74,Fashion,537.3641837662249,10,1451.069733943793
75,Car,963.211065958334,13,1979.2000928738285
76,Car,173.07224980179134,3,508.3378599393271
77,Fashion,81.00462911847373,4,133.01315088030535
78,Electronics,116.09898162640305,4,201.4044482062808
79,Art,589.27451403975,2,1611.6994412735432
80,Fashion,31.958124397940725,18,87.667251522772
81,Fashion,789.4117026241163,4,1583.7279970510756
82,Electronics,723.18700121742,6,1488.095064489137
83,Electronics,592.477031080895,16,1105.983311987751
84,Fashion,820.9507579124693,11,1370.677179104729
85,Electronics,228.20910648835425,9,568.4565018573215
86,Electronics,200.2998109982147,4,521.9541280160706
87,Art,154.50681672533347,2,410.1733444880074
88,Car,304.0140812775165,1,515.9059212103009
89,Car,828.9683777512405,4,2437.7482083110167
90,Car,864.6276455024299,20,2278.925961880782
91,Fashion,807.2493509616963,16,2187.8634668195186
92,Car,345.1484265934228,20,810.0990609500248
93,Art,948.7015471687137,21,1607.3481888066729
94,Fashion,589.223567377331,6,1207.1917043349883
95,Art,331.2369277681953,8,528.2015509659705
96,Car,202.03348134786248,21,555.0896321284273
97,Electronics,157.4771918494345,14,263.4045414566136
98,Art,854.0001583733626,14,1318.9870811050857
99,Fashion,316.25852357592754,22,812.6468792999397
100,Art,137.96195168403978,8,250.3747101477324
101,Art,317.9841881937792,9,643.159008445501
102,Art,435.7756656402009,18,794.5963897261225
103,Art,324.51844680452615,12,852.7918855640265
104,Fashion,719.4497707482709,22,1151.103886737402
105,Car,366.8526903699722,11,844.3909065821887
106,Art,437.0225049237182,17,959.8554825504906
107,Car,378.08672979575806,23,962.1865465671641
108,Electronics,681.7875271876424,6,1455.1710397483994
109,Car,85.55234854129804,7,243.93811031346533
110,Electronics,526.4976030137193,10,950.8945474083519
111,Car,597.0503732343857,9,1270.301979947833
112,Art,439.51621764533866,12,799.875437019175
113,Fashion,735.2731806539035,11,1945.237677731589
114,Fashion,776.7204882185044,19,1258.1110744684247
115,Car,572.4678643875292,5,1247.4633519216284
116,Car,677.5744039911405,18,1462.1418407553942
117,Car,722.148819235569,14,1250.697308303775
118,Car,589.7518312319455,3,1017.8232799738005
119,Fashion,470.4132136688961,6,789.6966082656566
120,Electronics,784.8882337488787,17,1866.0504616987946
121,Car,959.3257530568318,12,1990.3931828907555
122,Car,58.08182954044051,18,161.16981363346156
123,Car,93.38999462268734,18,238.70794513970316
124,Electronics,57.18120478683287,9,88.76526383513531
125,Art,120.51115869516084,5,257.28606606896886
126,Fashion,252.4519581321911,1,503.65302901634914
127,Car,566.0793434455771,19,1069.580908667819
128,Fashion,53.23372298691477,17,157.63047228466084
129,Car,686.2747613904951,14,1093.466916985631
130,Fashion,706.9540040133837,23,1217.240948928383
131,Fashion,932.0487027728647,4,2221.354424331768
132,Electronics,34.371042558052,20,76.54256319439871
133,Art,600.931408193177,13,1566.748027068043
134,Car,679.9774911027323,20,1751.6721669900267
135,Car,207.80773861046637,22,516.5891185133664
136,Electronics,374.71832224665434,4,957.423933017062
137,Car,387.21970133907973,18,747.8311335410552
138,Fashion,396.5247825687045,23,1113.1048902689308
139,Electronics,923.8367084011808,14,2531.604150253305
140,Car,820.0827730200707,1,1416.6665138968049
141,Fashion,233.62257122473196,14,479.178840009411
142,Art,813.6901647882171,1,1246.46748216306
143,Art,382.1732630319116,8,589.2961776432543
144,Car,71.54735052743638,18,180.38623074781881
145,Fashion,656.2989655526869,13,1408.3725616563565
146,Electronics,278.60422821550156,5,691.4933181420877
147,Electronics,854.8731698951029,10,2212.5005037895016
148,Art,950.5737807959855,10,2171.4902363437377
149,Art,690.7310856515797,8,1142.7231536673191
150,Art,365.9249311004803,8,697.1316435784282
151,Electronics,328.89836858712493,5,830.5578787762219
