auction_id,bid_amount,time_left_minutes,user_id,is_fraud
1,323.68087297118694,919,16,0
1,327.68403633777325,1201,29,0
1,330.6589671977333,492,22,0
1,335.9752224513222,1347,15,0
1,337.22821540786146,745,29,0
1,339.5638206310568,118,9,0
1,344.5272404338281,657,3,0
1,348.04577062172723,525,91,0
1,347.8487443181599,1245,84,0
1,361.24900768762296,556,83,0
1,364.74266679153754,557,56,0
1,358.1390332752377,537,13,0
1,366.396624241396,678,35,0
1,362.83459189993596,955,83,0
1,382.1029724936923,629,19,0
1,380.0725126464167,1170,14,0
1,384.6148510094559,400,62,0
1,380.4603006139713,1431,66,0
1,390.6488615502938,316,35,0
1,396.63636147828976,1295,38,0
1,387.19526994772843,399,86,0
1,386.80597625080554,1129,1,0
1,388.71161804114536,506,18,0
1,393.39358165649884,1299,30,0
1,420.8380114002586,813,66,0
1,427.1461233698619,1280,3,0
1,405.4543716900123,505,93,0
1,400.232185118234,1373,80,0
1,439.9249161635903,1031,73,0
1,445.28243315808277,608,99,0
1,420.6828597297905,310,71,0
1,451.75329736416336,352,99,0
1,450.804045933471,859,17,0
1,457.24870699048216,385,44,0
1,419.90824711518263,1294,28,0
1,448.2351028234797,32,15,0
1,438.50743069635547,700,56,0
1,475.9014567350878,513,26,0
1,441.197523613581,683,16,0
1,447.85858569520576,1104,57,0
1,441.05316000546475,89,20,0
1,445.01020903881005,474,62,0
1,477.84815178627406,865,73,0
1,467.6071877377525,285,72,0
1,467.65444527115335,55,92,0
1,497.1939726521872,1153,58,0
1,479.1218835900107,1383,27,0
1,519.3672251650939,485,19,0
1,462.56117521121877,906,82,0
2,693.2931030577035,350,36,0
2,716.9465812959742,415,63,0
2,755.0370103947299,108,45,0
2,791.6970380959992,980,49,0
2,825.7116108556188,1014,10,0
2,836.0802095374288,978,2,0
2,839.3567359978975,1309,16,1
2,883.6518575969505,1069,37,0
2,933.327452600118,1421,51,0
2,982.7066699798422,365,57,0
2,1028.422949114044,1298,96,0
2,976.5637622969205,454,66,0
2,969.0665020139465,1313,55,0
2,1118.1752277709206,379,39,0
2,1115.8586074004045,1210,87,0
2,1056.302290611367,758,41,0
2,1168.7312995078942,489,21,0
2,1174.5308326386423,1247,55,1
2,1229.4405983944366,754,93,0
2,1183.090484384875,614,61,0
2,1222.5085875467366,1338,9,0
2,1390.7900993041967,419,29,0
2,1313.9785604012625,149,36,0
2,1466.6683204934552,1195,18,0
2,1308.0935546890628,250,10,0
3,671.4653821020194,734,3,0
3,690.3400350717436,678,13,0
3,720.6700243291929,632,85,0
3,723.2669648886114,250,93,1
3,767.6163863767573,1376,19,0
3,767.1370790285056,118,19,0
3,812.3529684394618,1235,60,0
3,848.2468387910859,1054,84,0
3,823.2072753340805,623,27,0
3,837.4206597433783,942,56,0
3,876.9558046753214,303,29,0
3,938.9141473741729,94,21,0
3,911.2991598330473,978,2,0
3,972.8347026818058,1366,41,0
3,1025.1400732261166,967,11,0
3,928.0423478758604,315,85,0
